MPID|MP Type|Name|Location|Telephone|NASDAQ Member|FINRA Member|NASDAQ BX Member|PSX Participant
EARN|P|CODA MARKETS, INC.|||Y|Y|Y|N
EASY|P|European American Securities, Inc.|||N|N|N|N
EBKD|P|BGC FINANCIAL INC.|||N|N|N|N
EBKR|P|BGC Financial Inc.|||Y|Y|N|N
EBRD|P|EARLYBIRDCAPITAL, INC.|NEW YORK, NY|212-792-8100|Y|Y|N|N
EBXL|P|LUMINEX TRADING & ANALYTICS LLC|||N|Y|N|N
ECBD|P|EPIC CAPITAL SECURITIES|||N|Y|N|N
ECCC|P|EAGLES COAST CAPITAL, LLC|||N|Y|N|N
ECUT|P|COWEN AND COMPANY, LLC|NEW YORK, NY|212-468-7530|Y|Y|Y|Y
EDDI|P|EDDID SECURITIES USA INC.|||N|Y|N|N
EDDY|P|BOUSTEAD SECURITIES, LLC|||N|Y|N|N
EDFC|P|MAREX CAPITAL MARKETS INC.|||Y|Y|N|N
EDFI|P|MAREX CAPITAL MARKETS INC.|||Y|Y|N|N
EDFO|P|MAREX CAPITAL MARKETS INC.|||Y|Y|N|N
EDFP|P|MAREX CAPITAL MARKETS INC.|||Y|Y|N|N
EDGA|E|Direct Edge ECN LLC||201-942-8220|N|N|N|N
EDGE|P|Direct Edge Ecn Llc|||N|N|N|N
EDGX|E|Direct Edge ECN LLC|JERSEY CITY, NJ|201-942-8220|N|N|N|N
EDJC|P|Edward Jones / CDS|||N|N|N|N
EDJO|M|Edward D. Jones & Co., L.P.|ST. LOUIS MO|314-515-3131|Y|Y|N|N
EDJO|M|Edward D. Jones & Co., L.P.|ST.LOUIS MO|800-288-4221|Y|Y|N|N
EDLR|P|E.J. DE LA ROSA & CO., INC.|||N|N|N|N
EFGC|P|EFG Capital International|||N|Y|N|N
EFGI|M|Empire Financial Group, Inc.|LONGWOOD FL|407-774-1334|N|N|N|N
EFGI|M|Empire Financial Group, Inc.|LONGWOOD FL|800-579-8100|N|N|N|N
EFGI|M|Empire Financial Group, Inc.|NEW YORK, NY|212-355-4849|N|N|N|N
EFGI|M|Empire Financial Group, Inc.|NEW JERSEY|201-445-1007|N|N|N|N
EFGI|M|Empire Financial Group, Inc.|BOCA RATON, FL|561-544-0250|N|N|N|N
EFLS|P|EF LEGACY SECURITIES, LLC|||N|Y|N|N
EGAM|P|CBOE TRADING, INC.|||Y|Y|Y|N
EGAW|P|CBOE TRADING, INC.|||Y|Y|Y|N
EGSB|O|Electronic Global Securities, Inc.|NEW YORK, NY|212-286-1787|N|N|N|N
EGXM|P|CBOE TRADING, INC.|||Y|Y|Y|N
EGXW|P|CBOE TRADING, INC.|||Y|Y|Y|N
EHSC|P|E. H. Smith Jacobs & Co., Inc.|||N|N|N|N
EISN|N|Eisner Securities, Inc.|||N|N|N|N
EKNS|M|EKN Financial Services Inc.|NASDAQ TRADING|516-396-1254|N|N|N|N
ELEV|P|ELEVATION, LLC|||N|Y|N|N
ELIT|P|Community Bankers Securities, LLC|||N|N|N|N
ELPB|P|ELADIAN PARTNERS|||N|N|N|N
ELSH|N|Elish & Elish Brokerage And Research Co.|||N|Y|N|N
EMBD|P|EMBED CLEARING LLC|||N|Y|N|N
EMEI|P|Emerald Investments, Inc.|||N|N|N|N
EMER|P|EMERSON EQUITY LLC|||N|Y|N|N
EMII|P|Emerald Investments, Inc.|||N|N|N|N
EMOC|P|E. MAGNUS OPPENHEIM & CO. INC.|||N|N|N|N
EMPI|P|EMPIRE INVESTMENT INC.|||N|Y|N|N
EMPR|N|Empire Securities Incorporated of Washington|NASDAQ/OTCBB TRADING|800-541-5558|N|Y|N|N
EMPR|N|Empire Securities Incorporated of Washington|SPOKANE WA|509-623-1300|N|Y|N|N
EMPR|N|Empire Securities Incorporated of Washington|SPOKANE  WA|800-541-5960|N|Y|N|N
ENCL|P|ENCLAVE CAPITAL LLC|||N|Y|N|N
ENOC|N|Edgar M. Norris & Co., Inc.|||N|N|N|N
ENSK|P|SEB SECURITIES, INC.|||N|Y|N|N
EPIC|P|EPIC CAPITAL SECURITIES|||N|Y|N|N
EPLN|N|E-Planning.Com Securities Inc.|||N|N|N|N
EPRL|E|MIAX PEARL EQUITY EXCHANGE|||N|N|N|N
EQCP|P|Equity Concepts, Inc.|||N|N|N|N
EQHA|P|EQUITABLE ADVISORS, LLC|||N|Y|N|N
EQTO|O|Equity Trading Online, LLC|||N|N|N|N
EQTS|P|Equity Securities Investments, Inc.|||N|Y|N|N
EQTY|O|Equity Trading Online, LLC|NEW YORK, NY|212-279-7800|N|N|N|N
EQUA|P|Equitas America, LLC|||N|N|N|N
EQXI|P|EQX LLC|||N|Y|N|N
EROM|P|DASH PRIME LLC|||N|Y|N|N
EROP|P|DASH PRIME LLC|||N|Y|N|N
EROS|P|DASH PRIME LLC|||N|Y|N|N
ERPO|N|Europa Securities, Llc|NASDAQ TRADING|770-499-7770|N|N|N|N
ESPD|M|Cantor Fitzgerald & Co.|TRADING|800-214-7307|Y|Y|N|N
ETAA|P|Electronic Transaction Clearing, Inc.|||N|Y|N|N
ETAB|P|Electronic Transaction Clearing, Inc.|||N|Y|N|N
ETAE|P|Electronic Transaction Clearing, Inc.|||N|Y|N|N
ETAF|P|Electronic Transaction Clearing, Inc.|||N|Y|N|N
ETAI|P|QUANTLAB SECURITIES LP|||Y|Y|N|N
ETAJ|P|Electronic Transaction Clearing, Inc.|||N|Y|N|N
ETAK|P|ELECTRONIC TRANSACTION CLEARING, INC.|||N|Y|N|N
ETAM|P|Electronic Transaction Clearing, Inc.|||N|Y|N|N
ETAO|P|ELECTRONIC TRANSACTION CLEARING, INC.|||N|Y|N|N
ETBA|P|ELECTRONIC TRANSACTION CLEARING, INC.|||N|Y|N|N
ETBE|P|Electronic Transaction Clearing, Inc.|||N|Y|N|N
ETBF|P|ELECTRONIC TRANSACTION CLEARING, INC.|||N|Y|N|N
ETBH|P|ELECTRONIC TRANSACTION CLEARING, INC.|||N|Y|N|N
ETBJ|P|ELECTRONIC TRANSACTION CLEARING, INC.|||N|Y|N|N
ETBM|P|Electronic Transaction Clearing, Inc.|||N|Y|N|N
ETBR|P|Electronic Transaction Clearing, Inc.|||N|Y|N|N
ETBT|P|ELECTRONIC TRANSACTION CLEARING, INC.|||N|Y|N|N
ETBW|P|ELECTRONIC TRANSACTION CLEARING, INC.|||N|Y|N|N
ETBX|P|ELECTRONIC TRANSACTION CLEARING, INC.|||N|Y|N|N
ETBZ|P|Electronic Transaction Clearing, Inc.|||N|Y|N|N
ETCB|P|ETC BROKERAGE SERVICES, LLC|||N|Y|N|N
ETCC|P|Electronic Transaction Clearing, Inc.|||N|Y|N|N
ETCG|P|Electronic Transaction Clearing, Inc.|||N|Y|N|N
ETCI|P|Electronic Transaction Clearing, Inc.|||N|Y|N|N
ETCJ|P|ELECTRONIC TRANSACTION CLEARING, INC.|||N|Y|N|N
ETCL|M|E*Trade Securities LLC|||Y|Y|N|N
ETCQ|P|Electronic Transaction Clearing, Inc.|||N|Y|N|N
ETCR|P|Electronic Transaction Clearing, Inc.|||N|Y|N|N
ETCX|P|Electronic Transaction Clearing, Inc.|||N|Y|N|N
ETDA|P|ELECTRONIC TRANSACTION CLEARING, INC|||N|Y|N|N
ETDB|P|ELECTRONIC TRANSACTION CLEARING, INC.|||N|Y|N|N
ETDC|P|ELECTRONIC TRANSACTION CLEARING, INC.|||N|Y|N|N
ETDD|P|ELECTRONIC TRANSACTION CLEARING, INC.|||N|Y|N|N
ETDF|P|ELECTRONIC TRANSACTION CLEARING, INC.|||N|Y|N|N
ETDG|P|ELECTRONIC TRANSACTION CLEARING, INC.|||N|Y|N|N
ETDI|P|ELECTRONIC TRANSACTION CLEARING, INC.|||N|Y|N|N
ETDJ|P|ELECTRONIC TRANSACTION CLEARING, INC.|||N|Y|N|N
ETDL|P|ELECTRONIC TRANSACTION CLEARING, INC.|||N|Y|N|N
ETDN|P|Electronic Transaction Clearing, Inc.|||N|Y|N|N
ETDO|P|ELECTRONIC TRANSACTION CLEARING, INC.|||N|Y|N|N
ETDP|P|ELECTRONIC TRANSACTION CLEARING, INC.|||N|Y|N|N
ETDQ|P|ELECTRONIC TRANSACTION CLEARING, INC.|||N|Y|N|N
ETDR|P|CLEAR STREET, LLC|||Y|Y|Y|Y
ETDW|P|ELECTRONIC TRANSACTION CLEARING, INC.|||N|Y|N|N
ETDX|P|CLEAR STREET, LLC|||Y|Y|Y|Y
ETDY|P|ELECTRONIC TRANSACTION CLEARING, INC.|||N|Y|N|N
ETDZ|P|ELECTRONIC TRANSACTION CLEARING, INC.|||N|Y|N|N
ETEC|P|Etech Securities, Inc.|||N|N|N|N
ETED|P|ELECTRONIC TRANSACTION CLEARING, INC.|||N|Y|N|N
ETEH|O|ELECTRONIC TRANSACTION CLEARING, INC.|||N|N|N|N
ETEI|P|ELECTRONIC TRANSACTION CLEARING, INC.|||N|Y|N|N
ETEJ|P|CLEAR STREET, LLC|||Y|Y|Y|Y
ETEK|P|Etech Securities, Inc.|||N|N|N|N
ETEO|P|ELECTRONIC TRANSACTION CLEARING, INC.|||N|Y|N|N
ETEP|P|ELECTRONIC TRANSACTION CLEARING, INC.|||N|Y|N|N
ETEQ|P|ELECTRONIC TRANSACTION CLEARING, INC.|||N|Y|N|N
ETES|P|ELECTRONIC TRANSACTION CLEARING, INC.|||N|Y|N|N
ETET|P|ELECTRONIC TRANSACTION CLEARING, INC|||N|Y|N|N
ETEV|P|ELECTRONIC TRANSACTION CLEARING, INC.|||N|Y|N|N
ETEX|P|ELECTRONIC TRANSACTION CLEARING, INC.|||N|Y|N|N
ETEY|P|ELECTRONIC TRANSACTION CLEARING, INC.|||N|Y|N|N
ETEZ|P|ELECTRONIC TRANSACTION CLEARING, INC.|||N|Y|N|N
ETFA|P|ELECTRONIC TRANSACTION CLEARING, INC.|||N|Y|N|N
ETFB|P|ELECTRONIC TRANSACTION CLEARING, INC.|||N|Y|N|N
ETFC|P|ELECTRONIC TRANSACTION CLEARING, INC.|||N|Y|N|N
ETFD|P|ELECTRONIC TRANSACTION CLEARING, INC.|||N|Y|N|N
ETFE|M|ELECTRONIC TRANSACTION CLEARING, INC.|||N|Y|N|N
ETFF|P|ELECTRONIC TRANSACTION CLEARING, INC.|||N|Y|N|N
ETFG|P|ELECTRONIC TRANSACTION CLEARING, INC.|||N|Y|N|N
ETFH|P|ELECTRONIC TRANSACTION CLEARING, INC.|||N|Y|N|N
ETFK|P|ELECTRONIC TRANSACTION CLEARING, INC.|||N|Y|N|N
ETFL|P|ELECTRONIC TRANSACTION CLEARING, INC.|||N|Y|N|N
ETFM|P|ELECTRONIC TRANSACTION CLEARING, INC.|||N|Y|N|N
ETFN|P|ELECTRONIC TRANSACTION CLEARING, INC.|||N|Y|N|N
ETFO|P|ELECTRONIC TRANSACTION CLEARING, INC.|||N|Y|N|N
ETFP|P|ELECTRONIC TRANSACTION CLEARING, INC.|||N|Y|N|N
ETFQ|P|ELECTRONIC TRANSACTION CLEARING, INC.|||N|Y|N|N
ETFR|P|ELECTRONIC TRANSACTION CLEARING, INC.|||N|Y|N|N
ETFS|P|ELECTRONIC TRANSACTION CLEARING, INC|||N|Y|N|N
ETFT|P|ELECTRONIC TRANSACTION CLEARING, INC.|||N|Y|N|N
ETFU|P|CLEAR STREET, LLC|||Y|Y|Y|Y
ETFX|P|ELECTRONIC TRANSACTION CLEARING, INC.|||N|Y|N|N
ETFZ|P|ELECTRONIC TRANSACTION CLEARING, INC.|||N|Y|N|N
ETGA|P|ELECTRONIC TRANSACTION CLEARING, INC.|||N|Y|N|N
ETGB|P|ELECTRONIC TRANSACTION CLEARING, INC.|||N|Y|N|N
ETLD|P|Elliott-Ledgerwood & Company|||N|N|N|N
ETMM|M|G1 Execution Services, LLC|Trade Support|800-638-8602|Y|Y|Y|N
ETMM|M|G1 Execution Services, LLC|Trade Support|312-986-8882|Y|Y|Y|N
ETMM|M|G1 Execution Services, LLC|Bulletin Board|312-294-7824|Y|Y|Y|N
ETNF|P|Electronic Transaction Clearing, Inc.|||N|Y|N|N
ETOR|P|ETORO USA SECURITIES INC.|||N|Y|N|N
ETOS|P|Ethos Securities Corp.|||N|N|N|N
ETRF|M|G1 Execution Services, LLC.|CHICAGO, IL|312-294-7760|Y|Y|Y|N
ETRS|O|E*Trade Securities LLC|INSTITUTIONAL TRDING|212-826-6868|Y|Y|N|N
ETSB|P|Joseph Grace|||N|Y|N|N
ETTC|P|NORIBATRADE|||N|N|N|N
ETVN|P|EATON VANCE DISTRIBUTORS, INC.|||N|Y|N|N
EVAL|P|Cambridge Discount Brokerage, Inc.|||N|N|N|N
EVER|P|everTrade Direct Brokerage, Inc.|||N|N|N|N
EVRC|P|Evercore Group L.L.C.|||Y|Y|Y|N
EVRS|P|E1 ASSET MANAGEMENT, INC.|||N|Y|N|N
EWGC|P|Ewing Capital, Inc.|||N|N|N|N
EWMX|P|EAST WEST MARKETS, LLC|||N|Y|N|N
EWSC|N|East/West Securities Co.|NASDAQ TRADING|415-397-3400|N|N|N|N
EXEC|P|ATLANTIC EQUITIES, LLC|GREENWICH, CT|203-622-8713|N|N|N|N
EXEX|P|ex24, Inc.|||N|N|N|N
EXOO|P|EXOS SECURITIES LLC|||N|Y|N|N
EXOS|P|EXOS SECURITIES LLC|||N|Y|N|N
EXOT|P|GLOBAL FRONTERA MARKETS INC.|||N|Y|N|N
EXSS|P|EXOS SECURITIES LLC|||N|N|N|N
EXTF|P|WYNSTON HILL CAPITAL, LLC|||N|N|N|N
EXTR|P|Exeter, Ltd.|||N|N|N|N
FABL|P|OES Brokerage Services, L.L.C.|||N|N|N|N
FADA|P|OES Brokerage Services, L.L.C.|||N|N|N|N
FAGI|M|Fagenson & Co., Inc.|NEW YORK|212-422-1993|N|N|N|N
FALC|P|MK Securities USA, LLC|||N|Y|N|N
FALK|N|Steven L. Falk & Associates Inc.|||N|N|N|N
FANA|M|First Analysis Securities Corporation|CHICAGO, IL|312-258-0261|N|Y|N|N
FANA|M|First Analysis Securities Corporation|NASDAQ TRADING|888-900-3262|N|Y|N|N
FANC|M|Finance 500, Inc.|NASDAQ TRADING|949-724-4880|N|Y|N|N
FANC|M|Finance 500, Inc.|BULLETIN BOARD|949-724-4880|N|Y|N|N
FANC|M|Finance 500, Inc.|FLORIDA|561-353-0660|N|Y|N|N
FANC|M|Finance 500, Inc.|FLORIDA|866-330-0338|N|Y|N|N
FARA|P|FARINA & ASSOCIATES, INC.|||N|Y|N|N
FASI|M|Financial America Securities, Inc.|CLEVELAND, OH|216-781-1915|N|N|N|N
FAST|M|First Allied Securities, Inc.|SAN DIEGO  CA|800-499-5497|N|Y|N|N
FASW|M|FAS Wealth Managment Services, Inc.|||N|N|N|N
FATO|P|FATOR SECURITIES LLC|||N|N|N|N
FATS|P|First Brokers Securities LLC|||Y|Y|N|N
FATX|P|FAT Securities, LLC|||N|N|N|N
FBAY|P|OES Brokerage Services, L.L.C.|||N|N|N|N
FBCO|M|Credit Suisse Securities (USA) LLC|NEW YORK, NY|800-752-5114|Y|Y|Y|Y
FBCO|M|Credit Suisse Securities (USA) LLC|NEW YORK, NY|212-325-3447|Y|Y|Y|Y
FBCO|M|Credit Suisse Securities (USA) LLC|NASDAQ INT'L|011-4471-322-4580|Y|Y|Y|Y
FBCO|M|Credit Suisse Securities (USA) LLC|ARBITRAGE|212-325-3583|Y|Y|Y|Y
FBCO|M|Credit Suisse Securities (USA) LLC|FOREIGN TRADING|212-325-3441|Y|Y|Y|Y
FBCO|M|Credit Suisse Securities (USA) LLC|WARRANT TRADING|212-325-3399|Y|Y|Y|Y
FBCO|M|Credit Suisse Securities (USA) LLC|PREFERRED TRADING|212-322-3288|Y|Y|Y|Y
FBCO|M|Credit Suisse Securities (USA) LLC|CONVERTIBLES|212-325-3399|Y|Y|Y|Y
FBLM|P|FBL MARKETING SERVICES, LLC|||N|Y|N|N
FBLT|P|First Ballantyne, LLC|||N|Y|N|N
FBMO|P|OES Brokerage Services, L.L.C.|||N|N|N|N
FBNS|P|FBN SECURITIES, INC.|||Y|Y|N|N
FBNW|N|FBN Securities, Inc.|||Y|Y|N|N
FBPC|P|Credit Suisse Securities (USA) LLC|||Y|Y|Y|Y
FBRS|P|FBR Investment Services, Inc.|||N|N|N|N
FBSB|P|U.S. Bancorp Investments, Inc.|MINNEAPOLIS, MN|612-973-1122|N|Y|N|N
FBWA|M|Ferris, Baker Watts Incorporated|BALTIMORE MD|410-659-4616|N|N|N|N
FBWA|M|Ferris, Baker Watts Incorporated|NASDAQ/OTCBB TRADING|800-638-7411|N|N|N|N
FBWA|M|Ferris, Baker Watts Incorporated|PREFERRED|410-230-2230|N|N|N|N
FCCU|P|Fidelity Clearing Canada ULC./ CDS|||N|N|N|N
FCFP|P|First Citizens Financial Plus, Inc.|||N|N|N|N
FCFS|P|FIRST COMMAND BROKERAGE SERVICES, INC|||N|Y|N|N
FCGB|P|BGC FINANCIAL INC.|||N|N|N|N
FCIS|P|OES Brokerage Services, L.L.C.|||N|N|N|N
FCML|P|FNBB Capital Markets, LLC|||N|Y|N|N
FCON|N|Financial Consultant Group, LLC|NASDAQ TRADING|201-635-0229|N|N|N|N
FCRA|P|OES Brokerage Services, L.L.C.|||N|N|N|N
FCRT|P|OES Brokerage Services, L.L.C|||N|N|N|N
FCSC|P|FIRST CITIZENS INVESTOR SERVICES, INC.|||N|Y|N|N
FCST|P|StoneX Financial Inc.|||Y|Y|N|N
FCUG|P|OES Brokerage Services, L.L.C.|||N|N|N|N
FDCI|N|Financial Design, Inc.|||N|N|N|N
FDDL|O|Fd De Leeuw & Associes, Trade Desk America|||N|N|N|N
FDMI|P|Freedom Investments, Inc.|NASDAQ TRADING|402-431-8500|N|Y|N|N
FDSC|P|1st Discount Brokerage, Inc.|NASDAQ TRADING|561-883-9710|Y|Y|N|N
FDSI|N|First Dallas Securities Incorporated|DALLAS, TX|214-954-1177|N|Y|N|N
FEDE|M|Detwiler, Mitchell, Fenton & Graves, Inc.|BOSTON, MA|617-747-0192|N|N|N|N
FEDE|M|Detwiler, Mitchell, Fenton & Graves, Inc.|BOSTON, MA|800-225-6792|N|N|N|N
FEDR|N|FEDERATED SECURITIES, INC.|||N|Y|N|N
FENX|P|FENIX SECURITIES, LLC|||N|Y|N|N
FESI|P|First Empire Securities, Inc.|||N|Y|N|N
FFGI|P|FELDSTEIN FINANCIAL GROUP, LLC|||N|Y|N|N
FFLY|N|Firefly Capital, Inc.|MAIN PHONE|617-314-0705|N|N|N|N
FFLY|N|Firefly Capital, Inc.|TRADING DESK|617-933-0812|N|N|N|N
FFPS|N|FFP Securities, Inc.|CHESTERFIELD, MO|612-341-8761|N|N|N|N
FFSC|P|Avila Capital Markets, Inc.|||N|Y|N|N
FFSI|O|Firstrade Securities Inc.|FLUSHING, NY|718-961-6600|N|Y|N|N
FFUI|P|D.H. HILL SECURITIES, LLP|||N|Y|N|N
FGCC|N|1ST GLOBAL CAPITAL CORP.|||N|Y|N|N
FGCS|P|FGC SECURITIES, LLC|||N|Y|N|N
FGIC|N|FINANCORP GROUP INTERNATIONAL CORPORATION||212-407-0300|N|Y|N|N
FGOE|N|FIRST GEORGETOWN SECURITIES, INC.|ALEXANDRIA,VA|703-519-7700|N|Y|N|N
FGOE|N|FIRST GEORGETOWN SECURITIES, INC.|NATIONAL|800-424-2993|N|Y|N|N
FGSS|N|First Global Securities, Inc.|||N|N|N|N
FHON|P|FIRST HONOLULU SECURITIES, INC.|||N|Y|N|N
FIBS|P|Fidelity Brokerage Services LLC|||N|Y|N|N
FICA|P|GLOBAL MAXFIN CAPITAL INC. / CDS|||N|N|N|N
FIDT|P|Fidelity Clearing Canada ULC./ CDS|||N|N|N|N
FINA|N|Valores Finamex International, Inc.|NASDAQ TRADING|212-572-3600|N|N|N|N
FINF|P|FINANCE 500, INC.|||N|Y|N|N
FINS|P|Finacorp Securities||949-852-6561|N|N|N|N
FIRE|P|BLUE FIRE CAPITAL, LLC|||N|N|N|N
FISA|P|ADVISORS ASSET MANAGEMENT, INC|||Y|Y|N|N
FISB|P|Fixed Income Securities, LP|||Y|Y|N|N
FISC|P|ADVISORS ASSET MANAGEMENT, INC.|||Y|Y|N|N
FISH|N|L. B. FISHER & COMPANY|NASDAQ TRADING|214-733-4800|N|Y|N|N
FISN|P|Landdolt Securities, Inc|||N|Y|N|N
FJEF|P|OES Brokerage Services, L.L.C.|||N|N|N|N
FJMC|P|Boenning & Scattergood, Inc.|||N|N|N|N
FJON|P|OES Brokerage Services, L.L.C.|||N|N|N|N
FJRF|P|PARITER SECURITIES, LLC|||N|Y|N|N
FKSC|N|FIRST KENTUCKY SECURITIES CORPORATION|FRANKFURT, KY|502-875-4661|N|Y|N|N
FLAT|P|Florida Atlantic Securities Corp.|||N|Y|N|N
FLAX|P|First Liberties Financial|||N|Y|N|N
FLCN|P|Falcon Research, Inc.|||N|N|N|N
FLEX|P|FLEXINVEST SECURITIES, INC.|||N|Y|N|N
FLIB|P|First Liberties Financial|||N|Y|N|N
FLIO|P|SANTOS CAPITAL GROUP, LLC|||N|Y|N|N
FLQN|P|OES Brokerage Services, L.L.C.|||N|N|N|N
FLSC|P|First London Securities Corporation|DALLAS  TX|214-220-0699|N|N|N|N
FLSD|P|First London Securities Corporation|||N|N|N|N
FLTG|P|FLOW TRADERS U.S. LLC|||Y|Y|Y|Y
FLTL|M|Feltl & Company|TRADING DESK|612-492-8888|Y|Y|N|N
FLTL|M|Feltl & Company||866-777-9862|Y|Y|N|N
FLTU|P|FLOW TRADERS US LLC|||Y|Y|Y|Y
FLWT|P|FLOW TRADERS U.S. INSTITUTIONAL TRADING LLC|||N|Y|N|N
FLXS|N|FlexTrade Systems, LLC|||N|N|N|N
FMAF|P|NBCN Inc./ CDS|||N|N|N|N
FMAX|P|OES Brokerage Services, L.L.C.|||N|N|N|N
FMCO|M|First Manhattan Co|AGENCY|212-756-3411|Y|Y|N|N
FMER|P|OES Brokerage Services, LLC|||N|N|N|N
FMES|P|GOLDMAN SACHS CUSTODY SOLUTIONS|||Y|Y|N|N
FMEX|P|FINAMEX INTERNATIONAL, LLC|||N|Y|N|N
FMIC|P|First MidAmerica Investment Corporation|||N|N|N|N
FMSC|M|First Montauk Securities Corp.|RED BANK|732-842-2616|N|N|N|N
FMSC|M|First Montauk Securities Corp.|NASDAQ/OTCBB TRADING|1-800-322-3672|N|N|N|N
FMSC|M|First Montauk Securities Corp.|INSTITUTIONAL SALES|1-800-322-3672|N|N|N|N
FMSC|M|First Montauk Securities Corp.|MINEOLA NY|516-248-2245|N|N|N|N
FNBR|P|GOLDMAN SACHS CUSTODY SOLUTIONS|||Y|Y|N|N
FNCS|P|BGC Financial Inc.|||Y|Y|N|N
FNET|P|Wachovia Securities Financial Network, LLC|BOCA RATON, FL|561-338-2760|N|Y|N|N
FNET|P|Wachovia Securities Financial Network, LLC|NASDAQ TRADING|800-226-2690|N|Y|N|N
FNET|P|Wachovia Securities Financial Network, LLC|AGENCY|561-338-2878|N|Y|N|N
FNET|P|Wachovia Securities Financial Network, LLC|LISTED|800-741-4989|N|Y|N|N
FNET|P|Wachovia Securities Financial Network, LLC|P-PREFERRED|561-338-2807|N|Y|N|N
FNFD|N|Folger Nolan Fleming Douglas Incorporated|WASHINGTON, DC|202-626-5361|N|Y|N|N
FNFD|N|Folger Nolan Fleming Douglas Incorporated|NASDAQ/OTCBB TRADING|800-326-3633|N|Y|N|N
FNIX|P|GFI SECURITIES LLC|||Y|Y|N|N
FNSJ|N|Financial Northeastern Securities, Inc.|NEW JERSEY|973-882-9337|N|Y|N|N
FNTN|P|FINTRON INVEST|||N|Y|N|N
FNXB|P|BGC Financial, L.P.|||Y|Y|N|N
FNXE|P|Fenix Securities, LLC|||N|Y|N|N
FNXI|P|FENIX SECURITIES, LLC|Main Line|212-618-1956|N|Y|N|N
FNXR|P|FENIX SECURITIES, LLC|||N|Y|N|N
FNXS|P|FENIX SECURITIES, LLC|||N|Y|N|N
FOGS|P|FOG EQUITIES LLC|||Y|Y|N|N
FOMA|O|TD AMERITRADE CLEARING, INC.|TRADING|800-762-9897|Y|Y|N|N
FOMC|N|First of Michigan Corporation|||Y|Y|N|Y
FORD|M|ThinkEquity, LLC|NEW YORK, NY|212-732-8500|Y|Y|N|N
FORD|M|ThinkEquity, LLC||877-436-3673|Y|Y|N|N
FORD|M|ThinkEquity, LLC|TRADING|212-233-2839|Y|Y|N|N
FORD|M|ThinkEquity, LLC|COMPLIANCE OFFICE|212-732-8500|Y|Y|N|N
FORI|P|Fortrend Securities, Inc.|||N|Y|N|N
FORT|M|FORTE SECURITIES LLC|||N|Y|N|N
FOST|N|Foster Securities|SAN DIEGO, CA|619-281-1229|N|N|N|N
FOXA|P|FIS BROKERAGE & SECURITIES SERVICES LLC|Trading Desk|630-482-5105|N|Y|N|N
FOXB|P|FIS BROKERAGE & SECURITIES SERVICES LLC|Trading Desk|630-482-5105|N|Y|N|N
FOXN|O|Fox Run Alpha Fund, L.P.|||N|N|N|N
FOXX|M|Fox & Company Investments Inc.|PHOENIX, AZ|602-971-9000|N|N|N|N
FOXX|M|Fox & Company Investments Inc.|NASDAQ TRADING|602-224-2400|N|N|N|N
FPIC|P|OES Brokerage Services, L.L.C.|||N|N|N|N
FPKI|M|Fox-Pitt, Kelton Incorporated|NEW YORK, NY|212-687-1328|N|N|N|N
FPKI|M|Fox-Pitt, Kelton Incorporated|NEW YORK, NY|212-687-1105|N|N|N|N
FPKI|M|Fox-Pitt, Kelton Incorporated|NEW YORK, NY|800-367-5528|N|N|N|N
FRAN|M|Wm. V. Frankel & Co., Incorporated|JERSEY CITY, NJ|201-434-5005|N|N|N|N
FRAN|M|Wm. V. Frankel & Co., Incorporated|NEW YORK, NY|212-943-6633|N|N|N|N
FRAN|M|Wm. V. Frankel & Co., Incorporated|NEW YORK, NY|800-631-3091|N|N|N|N
FRCE|P|FIN2,LLC|||N|Y|N|N
FREC|P|FREC SECURITIES LLC|||N|Y|N|N
FRET|P|FIS BROKERAGE & SECURITIES SERVICES LLC|Trading Desk|630-482-5105|N|Y|N|N
FREX|P|FIS BROKERAGE & SECURITIES SERVICES LLC|Trading Desk|630-482-5105|N|Y|N|N
FRGP|M|Forge Financial Group, Inc.|BOCA RATON, FL|TRADING - 561-416-1348|N|N|N|N
FRGP|M|Forge Financial Group, Inc.|ARBITRAGE|561-416-9244|N|N|N|N
FRGP|M|Forge Financial Group, Inc.|FOREIGN|561-416-9405|N|N|N|N
FRGP|M|Forge Financial Group, Inc.|DISASTER REC SITE|561-271-1162|N|N|N|N
FRGP|M|Forge Financial Group, Inc.|DISASTER REC SITE 2|561-706-1400|N|N|N|N
FRGS|P|Forge Financial Group, Inc.|||N|N|N|N
FRSO|P|FIRST OMEGA, LLC|||N|Y|N|N
FRTE|P|FORTE SECURITIES LLC|||N|Y|N|N
FRTN|M|FORTUNE SECURITIES, INC.|||N|Y|N|N
FRTS|P|FORTRESS PRIVATE LEDGER, LLC|||N|Y|N|N
FSCN|P|FSC SECURITIES CORPORATION|||N|Y|N|N
FSCS|N|FSC Securities Corporation|ATLANTA,GA|770-916-6514|N|Y|N|N
FSCS|N|FSC Securities Corporation||800-772-3375|N|Y|N|N
FSDL|P|OES Brokerage Services, L.L.C.|||N|N|N|N
FSEC|P|FRS Securities, LLC|||N|N|N|N
FSFC|P|FIRST STANDARD FINANCIAL COMPANY LLC|||N|N|N|N
FSFS|O|ING Investment Management Services LLC|NEW YORK, NY|212-309-8597|N|N|N|N
FSII|P|OAKBRIDGE FINANCIAL SERVICES|||N|N|N|N
FSLL|M|Flagstone Securities, LLC||314-863-5343|N|N|N|N
FSMG|P|First Merger Capital, Inc.|||N|N|N|N
